,name,country,wikiurl,category,period,born,died
399,ginster,switzerland,https://de.wikipedia.org/wiki/Ginster?action=raw,ginster,,,
402,bergli,switzerland,https://fr.wikipedia.org/wiki/Berlin?action=raw,état d'allemagne,,,
405,buchrüti,switzerland,https://de.wikipedia.org/wiki/Lunnerenbach?action=raw,fluss,,,
407,rieter,switzerland,https://de.wikipedia.org/wiki/Rieter?action=raw,unternehmen ,1795,,
408,allmann,switzerland,https://fr.wikipedia.org/wiki/Allemand?action=raw,langue,,,
409,grüzen,switzerland,https://de.wikipedia.org/wiki/Gr%C3%BCze?action=raw,quartier von winterthur,,,
411,renn,switzerland,https://de.wikipedia.org/wiki/Ludwig_Renn?action=raw,deutscher schriftsteller,,1889,1979
412,reseda,switzerland,"https://en.wikipedia.org/wiki/Reseda,_Los_Angeles?action=raw",settlement,,,
413,unterrüti,switzerland,https://de.wikipedia.org/wiki/Merenschwand?action=raw,ort in der schweiz,,,
414,falken,switzerland,https://de.wikipedia.org/wiki/Falken?action=raw,falken,,,
416,katzen,switzerland,https://de.wikipedia.org/wiki/Katzen?action=raw,katzen,,,
419,schönengrund,switzerland,https://de.wikipedia.org/wiki/Sch%C3%B6nengrund?action=raw,ort in der schweiz,,,
420,winzer,switzerland,https://fr.wikipedia.org/wiki/Winzer?action=raw,commune d'allemagne,,,
421,deut,switzerland,https://fr.wikipedia.org/wiki/2_(nombre)?action=raw,nombre,,,
422,gipser,switzerland,https://de.wikipedia.org/wiki/Gips?action=raw,mineral,,,
424,knorren,switzerland,https://fr.wikipedia.org/wiki/Knorr?action=raw,société,,,
425,goldregen,switzerland,https://de.wikipedia.org/wiki/Goldregen_(Pflanze)?action=raw,goldregen,,,
427,nussbaum,switzerland,https://fr.wikipedia.org/wiki/Felix_Nussbaum?action=raw,artiste,,1904,1944
430,gotzenwiler,switzerland,https://de.wikipedia.org/wiki/Gotzenwil?action=raw,quartier von winterthur ,,,
432,buchacker,switzerland,https://de.wikipedia.org/wiki/Buchackern?action=raw,ort in der schweiz,,,
433,hintermühlen,switzerland,https://de.wikipedia.org/wiki/Langenhahn?action=raw,gemeinde in deutschland,,,
434,hermann-götz-,switzerland,https://fr.wikipedia.org/wiki/G%C3%B6tz_Werner?action=raw,biographie2,,,
435,rütihof,switzerland,https://en.wikipedia.org/wiki/Gr%C3%A4nichen?action=raw,swiss town,,,
437,ulrich-hegner-,switzerland,https://de.wikipedia.org/wiki/Ulrich_Hegner?action=raw,schweizer schriftsteller,,1759,1840
438,föhren,switzerland,https://de.wikipedia.org/wiki/F%C3%B6hren?action=raw,gemeinde in deutschland,,,
439,franz-burckhardt-,switzerland,https://de.wikipedia.org/wiki/Jacob_Burckhardt?action=raw,schweizer kulturhistoriker mit schwerpunkt kunstgeschichte,,1818,1897
441,auenrainstutz,switzerland,https://de.wikipedia.org/wiki/D%C3%A4ttnau?action=raw,quartier von winterthur,,,
443,mythen,switzerland,https://de.wikipedia.org/wiki/Mythen?action=raw,berg,,,
446,lindenplatz,switzerland,https://fr.wikipedia.org/wiki/Hagenow?action=raw,commune d'allemagne,,,
447,reit,switzerland,https://de.wikipedia.org/wiki/Real-Estate-Investment-Trust?action=raw,gesetz,,,
451,harzach,switzerland,https://en.wikipedia.org/wiki/Harwich?action=raw,uk place ,,,
452,wuhr,switzerland,https://fr.wikipedia.org/wiki/Wuhan?action=raw,ville de chine,,,
453,radhof,switzerland,https://en.wikipedia.org/wiki/Radeon?action=raw,gpu,,,
457,bäcker,switzerland,https://fr.wikipedia.org/wiki/Haley_Bennett?action=raw,cinéma (personnalité),,1988,
459,büel,switzerland,https://fr.wikipedia.org/wiki/Buell?action=raw,société,,,
460,sulzberg,switzerland,https://de.wikipedia.org/wiki/Sulzberg_(Vorarlberg)?action=raw,gemeinde in österreich,,,
461,hofacker,switzerland,https://de.wikipedia.org/wiki/Caesar_von_Hofacker?action=raw,"deutscher offizier der luftwaffe, verschwörer des hitlerattentates vom 20. juli 1944",,1896,1944
465,talacker,switzerland,https://fr.wikipedia.org/wiki/Greifenseelauf?action=raw,compétition sportive,,,
467,brigger,switzerland,https://en.wikipedia.org/wiki/Brig?action=raw,weapon,,,
468,karl-matthaei-,switzerland,https://en.wikipedia.org/wiki/Johann_Karl_B%C3%A4hr?action=raw,person,,1801,1869
471,steinacker,switzerland,https://en.wikipedia.org/wiki/N%C4%83drag?action=raw,settlement,,,
